ChEBI_ID	Polymer_ID
CHEBI:133894	POLYMER:12833
CHEBI:139149	POLYMER:14260
CHEBI:134068	POLYMER:12983
CHEBI:140561	POLYMER:14598
CHEBI:17029	POLYMER:9593
CHEBI:57704	POLYMER:9597
CHEBI:141005	POLYMER:14738
CHEBI:141005	POLYMER:14740
CHEBI:83401	POLYMER:11133
CHEBI:83401	POLYMER:11132
CHEBI:76539	POLYMER:14481
CHEBI:140312	POLYMER:14482
CHEBI:57652	POLYMER:9827
CHEBI:62065	POLYMER:9828
CHEBI:70977	POLYMER:9766
CHEBI:70988	POLYMER:9767
CHEBI:8298	POLYMER:14464
CHEBI:8298	POLYMER:14518
CHEBI:83400	POLYMER:11128
CHEBI:140626	POLYMER:14647
CHEBI:139252	POLYMER:14315
CHEBI:139285	POLYMER:14316
CHEBI:139286	POLYMER:14317
CHEBI:15444	POLYMER:9584
CHEBI:136820	POLYMER:13350
CHEBI:136821	POLYMER:13351
CHEBI:28100	POLYMER:11150
CHEBI:28100	POLYMER:15227
CHEBI:132154	POLYMER:12585
CHEBI:132153	POLYMER:12587
CHEBI:17522	POLYMER:9555
CHEBI:15693	POLYMER:9554
CHEBI:137986	POLYMER:13728
CHEBI:137986	POLYMER:13734
CHEBI:58211	POLYMER:9527
CHEBI:57683	POLYMER:9517
CHEBI:16091	POLYMER:9521
CHEBI:137990	POLYMER:13733
CHEBI:58427	POLYMER:9519
CHEBI:16374	POLYMER:9537
CHEBI:142110	POLYMER:14968
CHEBI:133896	POLYMER:12840
CHEBI:132224	POLYMER:12597
CHEBI:140523	POLYMER:14570
CHEBI:140523	POLYMER:14571
CHEBI:140774	POLYMER:14708
CHEBI:140775	POLYMER:14709
CHEBI:134464	POLYMER:13093
CHEBI:134464	POLYMER:13094
CHEBI:16389	POLYMER:9565
CHEBI:17976	POLYMER:9566
CHEBI:138439	POLYMER:14053
CHEBI:74010	POLYMER:9558
CHEBI:57525	POLYMER:9528
CHEBI:57269	POLYMER:9520
CHEBI:58472	POLYMER:11044
CHEBI:140523	POLYMER:14572
CHEBI:57497	POLYMER:9529
CHEBI:18269	POLYMER:11144
CHEBI:15444	POLYMER:9587
CHEBI:18269	POLYMER:11145
CHEBI:58050	POLYMER:9518
CHEBI:140627	POLYMER:14648
CHEBI:58388	POLYMER:9830
CHEBI:70974	POLYMER:11585
CHEBI:57570	POLYMER:12635
CHEBI:15447	POLYMER:9548
CHEBI:15447	POLYMER:9549
CHEBI:58096	POLYMER:9526
CHEBI:8298	POLYMER:14465
CHEBI:70975	POLYMER:9831
CHEBI:58187	POLYMER:11264
CHEBI:58187	POLYMER:14299
CHEBI:29084	POLYMER:10036
CHEBI:29084	POLYMER:14296
CHEBI:132356	POLYMER:12614
CHEBI:37671	POLYMER:11146
CHEBI:37671	POLYMER:14304
CHEBI:58422	POLYMER:9829
CHEBI:132415	POLYMER:12621
CHEBI:132416	POLYMER:12623
CHEBI:17029	POLYMER:9595
CHEBI:29074	POLYMER:9524
CHEBI:133980	POLYMER:12939
CHEBI:139511	POLYMER:14378
CHEBI:18246	POLYMER:10033
CHEBI:18246	POLYMER:10034
CHEBI:131728	POLYMER:12438
CHEBI:131728	POLYMER:12439
CHEBI:133427	POLYMER:12750
CHEBI:78629	POLYMER:9820
CHEBI:78629	POLYMER:14302
CHEBI:27517	POLYMER:11881
CHEBI:18151	POLYMER:9539
CHEBI:16838	POLYMER:9859
CHEBI:16838	POLYMER:14280
CHEBI:83374	POLYMER:10564
CHEBI:83374	POLYMER:14484
CHEBI:16030	POLYMER:9612
CHEBI:28100	POLYMER:11151
CHEBI:17246	POLYMER:12871
CHEBI:16571	POLYMER:12870
CHEBI:58287	POLYMER:9556
CHEBI:58041	POLYMER:9557
CHEBI:140335	POLYMER:14499
CHEBI:140336	POLYMER:14500
CHEBI:132153	POLYMER:12583
CHEBI:132415	POLYMER:14295
CHEBI:139145	POLYMER:14256
CHEBI:58465	POLYMER:9965
CHEBI:83400	POLYMER:11129
CHEBI:37671	POLYMER:14303
CHEBI:16838	POLYMER:14279
CHEBI:140572	POLYMER:14602
CHEBI:62192	POLYMER:9561
CHEBI:17757	POLYMER:9562
CHEBI:140522	POLYMER:14573
CHEBI:83828	POLYMER:11130
CHEBI:83828	POLYMER:11131
CHEBI:18246	POLYMER:10035
CHEBI:140395	POLYMER:14527
CHEBI:78435	POLYMER:9602
CHEBI:78435	POLYMER:9603
CHEBI:137986	POLYMER:13732
CHEBI:17623	POLYMER:14584
CHEBI:18398	POLYMER:14707
CHEBI:134631	POLYMER:13111
CHEBI:134660	POLYMER:13112
CHEBI:28192	POLYMER:9536
CHEBI:58914	POLYMER:9564
CHEBI:55437	POLYMER:9563
CHEBI:84166	POLYMER:10858
CHEBI:84167	POLYMER:10859
CHEBI:132510	POLYMER:12624
CHEBI:132511	POLYMER:12626
CHEBI:132515	POLYMER:12627
CHEBI:132516	POLYMER:12628
CHEBI:132517	POLYMER:12629
CHEBI:132519	POLYMER:12630
CHEBI:132520	POLYMER:12631
CHEBI:132522	POLYMER:12633
CHEBI:132523	POLYMER:12634
CHEBI:132521	POLYMER:12632
CHEBI:62729	POLYMER:9550
CHEBI:62731	POLYMER:9551
CHEBI:138369	POLYMER:14004
CHEBI:63679	POLYMER:13379
CHEBI:67132	POLYMER:9525
CHEBI:74008	POLYMER:9559
CHEBI:74009	POLYMER:9560
CHEBI:136572	POLYMER:13257
CHEBI:78396	POLYMER:9514
CHEBI:1269	POLYMER:9516
CHEBI:15444	POLYMER:9586
CHEBI:136434	POLYMER:13194
CHEBI:136435	POLYMER:13195
CHEBI:140646	POLYMER:14671
CHEBI:140646	POLYMER:14672
CHEBI:15444	POLYMER:10183
CHEBI:84422	POLYMER:10914
CHEBI:64694	POLYMER:10930
CHEBI:84443	POLYMER:10931
CHEBI:85307	POLYMER:11266
CHEBI:85308	POLYMER:11267
CHEBI:85311	POLYMER:11270
CHEBI:27857	POLYMER:11351
CHEBI:27857	POLYMER:11350
CHEBI:85311	POLYMER:11686
CHEBI:88021	POLYMER:11931
CHEBI:88026	POLYMER:12047
CHEBI:27517	POLYMER:11882
CHEBI:60059	POLYMER:11986
CHEBI:59573	POLYMER:12390
CHEBI:59573	POLYMER:12391
CHEBI:131701	POLYMER:12420
CHEBI:131701	POLYMER:12421
CHEBI:133493	POLYMER:12823
CHEBI:133494	POLYMER:12824
CHEBI:133496	POLYMER:12825
CHEBI:133498	POLYMER:12826
CHEBI:17029	POLYMER:12827
CHEBI:133980	POLYMER:12940
CHEBI:134413	POLYMER:13088
CHEBI:134413	POLYMER:14300
CHEBI:136572	POLYMER:13258
CHEBI:134680	POLYMER:13114
CHEBI:134663	POLYMER:13113
CHEBI:136061	POLYMER:13138
CHEBI:136065	POLYMER:13139
CHEBI:136424	POLYMER:13190
CHEBI:136425	POLYMER:13191
CHEBI:136825	POLYMER:13355
CHEBI:136960	POLYMER:13431
CHEBI:27517	POLYMER:13458
CHEBI:137935	POLYMER:13676
CHEBI:137934	POLYMER:13675
CHEBI:138112	POLYMER:13849
CHEBI:138121	POLYMER:13850
CHEBI:138439	POLYMER:14055
CHEBI:138445	POLYMER:14061
CHEBI:138444	POLYMER:14060
CHEBI:138445	POLYMER:14301
CHEBI:139146	POLYMER:14257
CHEBI:139159	POLYMER:14274
CHEBI:139158	POLYMER:14276
CHEBI:139287	POLYMER:14318
CHEBI:139288	POLYMER:14319
CHEBI:139289	POLYMER:14320
CHEBI:53406	POLYMER:14414
CHEBI:53406	POLYMER:14554
CHEBI:139561	POLYMER:14396
CHEBI:139562	POLYMER:14397
CHEBI:140523	POLYMER:14734
CHEBI:8298	POLYMER:14519
CHEBI:8298	POLYMER:14520
CHEBI:8298	POLYMER:14521
CHEBI:8298	POLYMER:14522
CHEBI:140574	POLYMER:14606
CHEBI:140574	POLYMER:14607
CHEBI:140604	POLYMER:14621
CHEBI:141418	POLYMER:14818
CHEBI:142111	POLYMER:14969
CHEBI:142885	POLYMER:15259
CHEBI:143623	POLYMER:15675
CHEBI:143623	POLYMER:15519
CHEBI:59573	POLYMER:15895
CHEBI:27517	POLYMER:16082
CHEBI:140522	POLYMER:16094
CHEBI:142512	POLYMER:16922
CHEBI:142512	POLYMER:16923
CHEBI:166823	POLYMER:16941
CHEBI:43474	POLYMER:17344
CHEBI:61557	POLYMER:17342
CHEBI:173112	POLYMER:17339
